registry,name,gender,birth_date,email,class_group_id,father_name,father_phone,mother_name,mother_phone
202500001,Beatriz Duarte Fernandes,F,05/04/2018,beatriz.fernandes202500001@escola.edu.br,1A_EF1,Nicolás Alves Cunha,(47) 99935-2424,Viviane Machado Oliveira,(11) 92535-4582
202500002,Francisco Santos Castro,M,21/12/2018,francisco.castro202500002@escola.edu.br,1A_EF1,Enzo Teixeira Marques,(41) 98359-5557,Ana Melo Farias,(31) 97924-6574
202500003,Carlos Melo Dias,M,13/02/2018,carlos.dias202500003@escola.edu.br,1A_EF1,Rafael Nascimento Nascimento,(92) 95333-1711,Rebeca Freitas Teixeira,(21) 97201-2291
202500004,Helena Moura Andrade,F,03/12/2018,helena.andrade202500004@escola.edu.br,1A_EF1,Lucas Cavalcante Almeida,(48) 95741-2307,Raquel Alves Moreira,(51) 98428-6977
202500005,Ricardo Carvalho Cavalcante,M,22/12/2019,ricardo.cavalcante202500005@escola.edu.br,1A_EF1,Ruan Rodrigues Pinto,(62) 93803-9751,Rebeca Lopes Costa,(81) 97216-5422
202500006,Helena Monteiro Castro,F,11/11/2018,helena.castro202500006@escola.edu.br,1A_EF1,Samuel Brito Souza,(41) 91525-6168,Elisa Fernandes Rodrigues,(41) 96155-4483
202500007,Elisa Borges Freitas,F,05/05/2018,elisa.freitas202500007@escola.edu.br,1A_EF1,Paulo Duarte Castro,(85) 95304-8019,Viviane Nunes Andrade,(41) 93266-9348
202500008,Yago Souza Pereira,M,06/11/2018,yago.pereira202500008@escola.edu.br,1A_EF1,Cauã Machado Pinto,(21) 97304-7252,Aline Freitas Santana,(51) 91188-2876
202500009,Sandra Melo Fernandes,F,10/02/2019,sandra.fernandes202500009@escola.edu.br,1A_EF1,Vitor Costa Freitas,(11) 95315-9201,Laís Ribeiro Gonçalves,(21) 95889-9317
202500010,Mariana Andrade Melo,F,25/09/2018,mariana.melo202500010@escola.edu.br,1A_EF1,Tiago Silva Pinto,(61) 99005-1319,Lívia Andrade Farias,(51) 94923-1949
202500011,Antônio Ferreira Ferreira,M,25/02/2019,antonio.ferreira202500011@escola.edu.br,1A_EF1,Guilherme Brito Lima,(31) 98787-3705,Sofia Santana Pinto,(71) 94470-9835
202500012,Giovanna Martins Guimarães,F,22/07/2019,giovanna.guimaraes202500012@escola.edu.br,1A_EF1,Ruan Andrade Mendes,(85) 98397-2982,Sabrina Almeida Rodrigues,(61) 91344-4770
202500013,Ana Rodrigues Guimarães,F,03/04/2018,ana.guimaraes202500013@escola.edu.br,1A_EF1,Lucas Dias Rodrigues,(85) 94899-5562,Isadora Ramos Carvalho,(85) 93167-8744
202500014,Sérgio Farias Marques,M,04/02/2018,sergio.marques202500014@escola.edu.br,1A_EF1,Kaique Machado Nascimento,(71) 97735-8651,Rebeca Souza Cunha,(62) 92612-1993
202500015,Henrique Farias Alves,M,07/04/2018,henrique.alves202500015@escola.edu.br,1A_EF1,Guilherme Mendes Lima,(71) 94006-5563,Laura Lopes Rodrigues,(81) 92604-1828
202500016,Sandra Silva Ferreira,F,14/03/2018,sandra.ferreira202500016@escola.edu.br,1A_EF1,Fábio Cardoso Carvalho,(65) 97570-1960,Natália Moreira Silva,(71) 95345-8454
202500017,Enzo Azevedo Rezende,M,07/03/2019,enzo.rezende202500017@escola.edu.br,1A_EF1,Fernando Carvalho Souza,(92) 99883-1998,Clarice Rocha Souza,(11) 98811-9238
202500018,Renata Costa Souza,F,03/03/2018,renata.souza202500018@escola.edu.br,1A_EF1,Francisco Rodrigues Cunha,(65) 94853-7615,Lívia Campos Lopes,(92) 91651-2343
